Pos,T,CH4,CO2,CO,O2,H2O,N2,Q
1.200000000000e-02,3.104576745615e+02,2.972034404490e-02,7.945717522203e-05,6.775327990183e-05,2.253293247557e-01,8.304903644410e-04,7.439480999255e-01,8.040073936258e+00
1.210000000000e-02,3.129864345692e+02,2.965113227889e-02,1.066855674403e-04,8.546659802392e-05,2.251737022020e-01,1.027221609339e-03,7.439285014661e-01,1.270431572969e+01
1.215000000000e-02,3.144855956446e+02,2.961031015675e-02,1.238936786486e-04,9.610419553065e-05,2.250800014820e-01,1.143312651250e-03,7.439174954737e-01,1.602415878757e+01
1.220000000000e-02,3.161686953969e+02,2.956464241142e-02,1.441062607110e-04,1.081562358460e-04,2.249736450788e-01,1.273192939094e-03,7.439056119700e-01,2.025108440589e+01
1.225000000000e-02,3.180566113649e+02,2.951359872215e-02,1.678208468009e-04,1.217984696339e-04,2.248530335424e-01,1.418337921019e-03,7.438928085402e-01,2.563291187066e+01
1.230000000000e-02,3.201721720770e+02,2.945660161136e-02,1.956092126450e-04,1.372253241674e-04,2.247163945931e-01,1.580341807511e-03,7.438790478790e-01,3.248301940827e+01
1.235000000000e-02,3.225402390285e+02,2.939302477102e-02,2.281261072473e-04,1.546511121180e-04,2.245617717937e-01,1.760918025180e-03,7.438643000739e-01,4.119649739923e+01
1.237500000000e-02,3.238293727063e+02,2.935850803451e-02,2.464429812791e-04,1.642039096698e-04,2.244768897128e-01,1.858882633835e-03,7.438565431476e-01,4.642120089621e+01
1.240000000000e-02,3.251941642879e+02,2.932203222789e-02,2.662943915308e-04,1.743659797240e-04,2.243865076966e-01,1.962344503520e-03,7.438485253304e-01,5.232501269147e+01
1.242500000000e-02,3.266386923186e+02,2.928349537180e-02,2.878025019336e-04,1.851736238037e-04,2.242902928547e-01,2.071576031904e-03,7.438402451393e-01,5.899575846684e+01
1.245000000000e-02,3.281669015325e+02,2.924279967272e-02,3.110910405356e-04,1.966622914326e-04,2.241879194646e-01,2.186835753054e-03,7.438317028407e-01,6.653039898251e+01
1.247500000000e-02,3.297831804251e+02,2.919983582010e-02,3.362988352338e-04,2.088716063833e-04,2.240790237012e-01,2.308411502164e-03,7.438228991060e-01,7.503973595551e+01
1.250000000000e-02,3.314917549754e+02,2.915449946446e-02,3.635660484167e-04,2.218401180765e-04,2.239632509272e-01,2.436574714287e-03,7.438138365593e-01,8.464590794552e+01
1.252500000000e-02,3.332973775410e+02,2.910667261361e-02,3.930503383860e-04,2.356112093098e-04,2.238402018940e-01,2.571633122984e-03,7.438045166848e-01,9.548863068048e+01
1.255000000000e-02,3.352045772316e+02,2.905624369551e-02,4.249113087456e-04,2.502270221167e-04,2.237094891102e-01,2.713869721979e-03,7.437949468334e-01,1.077219648352e+02
1.257500000000e-02,3.372181428144e+02,2.900309467608e-02,4.593204708881e-04,2.657322762812e-04,2.235707009189e-01,2.863583239116e-03,7.437851342473e-01,1.215192622583e+02
1.260000000000e-02,3.393429899510e+02,2.894710457492e-02,4.964591312474e-04,2.821732830408e-04,2.234234108662e-01,3.021076445263e-03,7.437750880908e-01,1.370745186677e+02
1.262500000000e-02,3.415841543516e+02,2.888814962360e-02,5.365186423424e-04,2.995979224824e-04,2.232671779247e-01,3.186655372546e-03,7.437648196159e-01,1.546047242064e+02
1.265000000000e-02,3.439467837982e+02,2.882610344634e-02,5.797006248136e-04,3.180556122436e-04,2.231015467997e-01,3.360628464765e-03,7.437543423276e-01,1.743524791916e+02
1.267500000000e-02,3.464361290178e+02,2.876083726301e-02,6.262171565855e-04,3.375972671952e-04,2.229260483218e-01,3.543305663476e-03,7.437436721494e-01,1.965889112076e+02
1.270000000000e-02,3.490575333953e+02,2.869222011414e-02,6.762909253999e-04,3.582752498784e-04,2.227401999284e-01,3.734997434529e-03,7.437328275850e-01,2.216169330901e+02
1.272500000000e-02,3.518164215350e+02,2.862011910699e-02,7.301553411520e-04,3.801433115643e-04,2.225435062336e-01,3.936013741068e-03,7.437218298751e-01,2.497748865558e+02
1.275000000000e-02,3.547182866911e+02,2.854439968172e-02,7.880546047321e-04,4.032565239210e-04,2.223354596880e-01,4.146662970303e-03,7.437107031455e-01,2.814406150423e+02
1.277500000000e-02,3.577686771098e+02,2.846492589721e-02,8.502437304666e-04,4.276712014071e-04,2.221155413332e-01,4.367250822709e-03,7.436994745705e-01,3.170359098380e+02
1.278750000000e-02,3.593518443199e+02,2.842372603720e-02,8.830506550217e-04,4.403893186348e-04,2.220009200519e-01,4.481397342831e-03,7.436938309480e-01,3.364742721612e+02
1.280000000000e-02,3.609747841539e+02,2.838152286186e-02,9.170535934089e-04,4.534596356572e-04,2.218830825607e-01,4.598175320505e-03,7.436881724412e-01,3.570907235239e+02
1.281250000000e-02,3.626382663798e+02,2.833829738091e-02,9.522903868626e-04,4.668901750168e-04,2.217619548994e-01,4.717626019294e-03,7.436825033198e-01,3.789557793658e+02
1.282500000000e-02,3.643429714735e+02,2.829403299130e-02,9.887966114060e-04,4.806881634126e-04,2.216374703424e-01,4.839784034944e-03,7.436768280152e-01,4.021419098804e+02
1.283750000000e-02,3.660896987395e+02,2.824870996315e-02,1.026612054600e-03,4.948619405210e-04,2.215095518447e-01,4.964692325137e-03,7.436711505756e-01,4.267282211679e+02
1.285000000000e-02,3.678791228338e+02,2.820231173610e-02,1.065773973025e-03,5.094188812517e-04,2.213781315238e-01,5.092383634428e-03,7.436654765348e-01,4.527962746720e+02
1.286250000000e-02,3.697119655891e+02,2.815482052821e-02,1.106321476353e-03,5.243667949125e-04,2.212431373667e-01,5.222894097257e-03,7.436598110236e-01,4.804331894259e+02
1.287500000000e-02,3.715889470611e+02,2.810621857474e-02,1.148294350560e-03,5.397135382699e-04,2.211044969333e-01,5.356259294335e-03,7.436541593886e-01,5.097312057044e+02
1.288750000000e-02,3.735107849253e+02,2.805648813970e-02,1.191733048679e-03,5.554670114615e-04,2.209621373951e-01,5.492514215732e-03,7.436485271933e-01,5.407880110402e+02
1.290000000000e-02,3.754781938659e+02,2.800561152748e-02,1.236678680664e-03,5.716351538165e-04,2.208159855747e-01,5.631693224587e-03,7.436429202179e-01,5.737070888282e+02
1.291250000000e-02,3.774918849612e+02,2.795357109443e-02,1.283173002366e-03,5.882259395924e-04,2.206659679865e-01,5.773830021616e-03,7.436373444583e-01,6.085980932919e+02
1.292500000000e-02,3.795525650643e+02,2.790034926044e-02,1.331258403659e-03,6.052473736395e-04,2.205120108772e-01,5.918957610473e-03,7.436318061256e-01,6.455772535379e+02
1.293750000000e-02,3.816609361835e+02,2.784592852046e-02,1.380977895718e-03,6.227074869998e-04,2.203540402678e-01,6.067108264106e-03,7.436263116441e-01,6.847678094181e+02
1.295000000000e-02,3.838176948615e+02,2.779029145592e-02,1.432375097478e-03,6.406143324526e-04,2.201919819957e-01,6.218313492193e-03,7.436208676492e-01,7.263004821448e+02
1.296250000000e-02,3.860235315562e+02,2.773342074608e-02,1.485494221317e-03,6.589759800160e-04,2.200257617564e-01,6.372604009770e-03,7.436154809845e-01,7.703139828861e+02
1.297500000000e-02,3.882791300250e+02,2.767529917915e-02,1.540380057967e-03,6.778005124140e-04,2.198553051469e-01,6.530009707138e-03,7.436101586988e-01,8.169555629001e+02
1.298750000000e-02,3.905851667138e+02,2.761590966335e-02,1.597077960710e-03,6.970960205217e-04,2.196805377081e-01,6.690559621156e-03,7.436049080418e-01,8.663816091229e+02
1.300000000000e-02,3.929423101521e+02,2.755523523768e-02,1.655633828885e-03,7.168705987974e-04,2.195013849679e-01,6.854281907994e-03,7.435997364598e-01,9.187582895290e+02
1.301250000000e-02,3.953512203570e+02,2.749325908251e-02,1.716094090744e-03,7.371323407132e-04,2.193177724833e-01,7.021203817430e-03,7.435946515907e-01,9.742622530120e+02
1.302500000000e-02,3.978125482467e+02,2.742996452989e-02,1.778505685702e-03,7.578893341954e-04,2.191296258841e-01,7.191351668774e-03,7.435896612579e-01,1.033081389008e+03
1.303750000000e-02,4.003269350658e+02,2.736533507359e-02,1.842916046027e-03,7.791496570845e-04,2.189368709141e-01,7.364750828483e-03,7.435847734646e-01,1.095415652548e+03
1.305000000000e-02,4.028950118238e+02,2.729935437886e-02,1.909373078008e-03,8.009213726261e-04,2.187394334739e-01,7.541425689531e-03,7.435799963864e-01,1.161477960785e+03
1.306250000000e-02,4.055173987484e+02,2.723200629183e-02,1.977925142658e-03,8.232125250027e-04,2.185372396621e-01,7.721399652577e-03,7.435753383643e-01,1.231495166970e+03
1.307500000000e-02,4.081947047559e+02,2.716327484856e-02,2.048621035994e-03,8.460311349173e-04,2.183302158165e-01,7.904695109006e-03,7.435708078964e-01,1.305709116232e+03
1.308750000000e-02,4.109275269392e+02,2.709314428375e-02,2.121509968945e-03,8.693851952388e-04,2.181182885538e-01,8.091333425845e-03,7.435664136297e-01,1.384377781358e+03
1.310000000000e-02,4.137164500750e+02,2.702159903904e-02,2.196641546943e-03,8.932826667177e-04,2.179013848100e-01,8.281334932615e-03,7.435621643505e-01,1.467776456482e+03
1.311250000000e-02,4.165620461531e+02,2.694862377110e-02,2.274065749267e-03,9.177314737904e-04,2.176794318801e-01,8.474718910191e-03,7.435580689811e-01,1.556198885715e+03
1.311875000000e-02,4.180063663720e+02,2.691159324467e-02,2.313657789950e-03,9.301659140918e-04,2.175665315752e-01,8.572689286930e-03,7.435560817833e-01,1.602407613952e+03
