Pos,T,H2,O2,N2,H2O,Q
3.815625000000e-03,3.036011303814e+02,6.735117069767e-03,2.311177294367e-01,7.618346169015e-01,3.114589615507e-04,1.084042801891e-03
3.931250000000e-03,3.038660772956e+02,6.703270168649e-03,2.311120859797e-01,7.618490303425e-01,3.344475217279e-04,1.261887352782e-03
4.046875000000e-03,3.041480367797e+02,6.670736637574e-03,2.311056833800e-01,7.618632042900e-01,3.591141607037e-04,1.470740334310e-03
4.162500000000e-03,3.044481019344e+02,6.637504130880e-03,2.310984555420e-01,7.618770974183e-01,3.855780716852e-04,1.715874861955e-03
4.278125000000e-03,3.047674350612e+02,6.603560271408e-03,2.310903312193e-01,7.618906655247e-01,4.139664627791e-04,2.003466620473e-03
4.393750000000e-03,3.051072718083e+02,6.568892667794e-03,2.310812336475e-01,7.619038613997e-01,4.444150338004e-04,2.340747326096e-03
4.509375000000e-03,3.054689255239e+02,6.533488933323e-03,2.310710801562e-01,7.619166346962e-01,4.770684727516e-04,2.736184238701e-03
4.625000000000e-03,3.058537918229e+02,6.497336706444e-03,2.310597817580e-01,7.619289318005e-01,5.120809714888e-04,3.199690109137e-03
4.740625000000e-03,3.062633533687e+02,6.460423673028e-03,2.310472427145e-01,7.619406957066e-01,5.496167598402e-04,3.742868697511e-03
4.856250000000e-03,3.066991848733e+02,6.422737590458e-03,2.310333600791e-01,7.619518658933e-01,5.898506571606e-04,4.379301863282e-03
4.971875000000e-03,3.071629583145e+02,6.384266313651e-03,2.310180232160e-01,7.619623782076e-01,6.329686399792e-04,5.124885237528e-03
5.087500000000e-03,3.076564483710e+02,6.344997822789e-03,2.310011132846e-01,7.619721647204e-01,6.791684240045e-04,5.998220667510e-03
5.145312500000e-03,3.079150446960e+02,6.325059261232e-03,2.309920190366e-01,7.619767583003e-01,7.035058479407e-04,6.489894301233e-03
5.203125000000e-03,3.081819166632e+02,6.304915859855e-03,2.309824732785e-01,7.619811380031e-01,7.287094363113e-04,7.022407765256e-03
5.260937500000e-03,3.084573256451e+02,6.284566156038e-03,2.309724578832e-01,7.619852939268e-01,7.548085241218e-04,7.599152874813e-03
5.318750000000e-03,3.087415408871e+02,6.264008701837e-03,2.309619540691e-01,7.619892159090e-01,7.818333406461e-04,8.223803089302e-03
5.376562500000e-03,3.090348397151e+02,6.243242065118e-03,2.309509423807e-01,7.619928935248e-01,8.098150302209e-04,8.900336815575e-03
5.434375000000e-03,3.093375077428e+02,6.222264830841e-03,2.309394026675e-01,7.619963160854e-01,8.387856727651e-04,9.633062664481e-03
5.492187500000e-03,3.096498390854e+02,6.201075602261e-03,2.309273140635e-01,7.619994726364e-01,8.687783046075e-04,1.042664675478e-02
5.550000000000e-03,3.099721365723e+02,6.179673002293e-03,2.309146549662e-01,7.620023519575e-01,8.998269389010e-04,1.128614230343e-02
